epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,413.189,0.80702,0.7865,0.95338,0.7282,0.55956,0.604,0.4798,0.91917,1.36181,0.98568,0.0004753,0.0004753,0.0004753
55,421.374,0.80796,0.76271,0.95514,0.71124,0.56531,0.62172,0.49516,0.8552,1.33908,0.96309,0.0004654,0.0004654,0.0004654
56,429.195,0.80128,0.78156,0.94583,0.51735,0.73289,0.64835,0.49173,0.88713,1.31007,0.98104,0.0004555,0.0004555,0.0004555
57,437.853,0.76708,0.74945,0.94091,0.62747,0.67768,0.6246,0.47907,0.9323,1.31424,0.99405,0.0004456,0.0004456,0.0004456
58,445.742,0.77807,0.74376,0.93379,0.51312,0.65074,0.59528,0.46058,0.91542,1.30483,0.97559,0.0004357,0.0004357,0.0004357
59,452.946,0.77358,0.73381,0.93702,0.67141,0.62027,0.60625,0.46029,0.88543,1.3177,0.97954,0.0004258,0.0004258,0.0004258
60,458.356,0.78306,0.70285,0.94496,0.68756,0.60842,0.60765,0.47921,0.84788,1.3535,0.96259,0.0004159,0.0004159,0.0004159
61,465.824,0.75321,0.7237,0.92803,0.66322,0.60991,0.59622,0.47586,0.85139,1.33409,0.96851,0.000406,0.000406,0.000406
62,473.931,0.79773,0.74244,0.95789,0.60158,0.64992,0.61128,0.49049,0.85903,1.28274,0.95219,0.0003961,0.0003961,0.0003961
63,482.05,0.77344,0.7317,0.93646,0.67425,0.64042,0.6304,0.51384,0.84246,1.31032,0.95064,0.0003862,0.0003862,0.0003862
64,490.043,0.74576,0.69521,0.92911,0.66693,0.70398,0.64691,0.51991,0.83023,1.30111,0.95204,0.0003763,0.0003763,0.0003763
65,498.349,0.72269,0.68298,0.91476,0.63544,0.67082,0.62,0.48301,0.90193,1.33628,1.00054,0.0003664,0.0003664,0.0003664
66,506.403,0.72758,0.65876,0.91897,0.73853,0.64019,0.63326,0.50223,0.87632,1.36314,0.97576,0.0003565,0.0003565,0.0003565
67,514.252,0.73059,0.66749,0.91838,0.5736,0.73459,0.62563,0.49122,0.85551,1.36143,0.96423,0.0003466,0.0003466,0.0003466
68,521.978,0.75127,0.68124,0.93265,0.51878,0.65426,0.57974,0.45332,0.90113,1.40476,0.98528,0.0003367,0.0003367,0.0003367
69,529.822,0.73362,0.65821,0.93031,0.5561,0.6108,0.54115,0.43546,0.85015,1.34867,0.96783,0.0003268,0.0003268,0.0003268
70,538.287,0.70536,0.65086,0.90618,0.55643,0.65105,0.56188,0.46157,0.82663,1.33936,0.95188,0.0003169,0.0003169,0.0003169
71,545.003,0.72608,0.66849,0.93123,0.56775,0.69069,0.58877,0.46434,0.87783,1.30095,0.96822,0.000307,0.000307,0.000307
72,551.053,0.71259,0.64021,0.91578,0.59804,0.70638,0.61177,0.494,0.83163,1.31933,0.95072,0.0002971,0.0002971,0.0002971
73,557.951,0.68855,0.62544,0.90023,0.58362,0.72215,0.60358,0.48044,0.84659,1.31901,0.96767,0.0002872,0.0002872,0.0002872
74,565.916,0.72208,0.64832,0.92021,0.71173,0.69523,0.63478,0.50862,0.81708,1.30835,0.95413,0.0002773,0.0002773,0.0002773
75,573.839,0.69864,0.61422,0.91369,0.61562,0.67835,0.62098,0.50509,0.84792,1.4282,0.96187,0.0002674,0.0002674,0.0002674
76,581.754,0.70131,0.61414,0.90799,0.69324,0.66876,0.6335,0.51614,0.81934,1.40903,0.95169,0.0002575,0.0002575,0.0002575
77,589.589,0.67691,0.61969,0.90675,0.61204,0.67351,0.61313,0.49742,0.82587,1.32882,0.95412,0.0002476,0.0002476,0.0002476
78,597.787,0.67406,0.59974,0.916,0.7115,0.61849,0.61627,0.51017,0.79835,1.35511,0.94786,0.0002377,0.0002377,0.0002377
79,605.533,0.67247,0.59396,0.91254,0.6943,0.69208,0.62382,0.50274,0.82691,1.3676,0.96042,0.0002278,0.0002278,0.0002278
80,613.712,0.67778,0.59795,0.8993,0.72573,0.63563,0.61991,0.5057,0.84371,1.4747,0.96923,0.0002179,0.0002179,0.0002179
81,621.5,0.66176,0.57614,0.91456,0.72173,0.66843,0.62726,0.51509,0.80786,1.3903,0.95753,0.000208,0.000208,0.000208
82,629.687,0.67028,0.57342,0.90011,0.70349,0.69447,0.63645,0.52151,0.80266,1.3719,0.94732,0.0001981,0.0001981,0.0001981
83,635.754,0.66487,0.55775,0.90842,0.73907,0.64505,0.62274,0.51627,0.82459,1.43666,0.95433,0.0001882,0.0001882,0.0001882
84,641.801,0.64911,0.57176,0.89992,0.69255,0.68511,0.60671,0.4793,0.83983,1.34638,0.96094,0.0001783,0.0001783,0.0001783
85,649.484,0.6385,0.54391,0.8899,0.68673,0.66158,0.60141,0.49095,0.80426,1.38274,0.94443,0.0001684,0.0001684,0.0001684
86,657.572,0.66518,0.57748,0.90263,0.67621,0.65625,0.59225,0.47471,0.82417,1.38071,0.95453,0.0001585,0.0001585,0.0001585
87,665.07,0.67054,0.56476,0.90035,0.66315,0.67833,0.59999,0.48652,0.827,1.39689,0.96126,0.0001486,0.0001486,0.0001486
88,673.242,0.6316,0.53295,0.89684,0.69679,0.6656,0.61438,0.49769,0.8413,1.35574,0.96226,0.0001387,0.0001387,0.0001387
89,681.1,0.66586,0.56544,0.90257,0.66839,0.68247,0.6004,0.48672,0.82394,1.36775,0.95272,0.0001288,0.0001288,0.0001288
90,689.181,0.65166,0.55536,0.90888,0.69467,0.65596,0.60469,0.49243,0.80255,1.36268,0.94337,0.0001189,0.0001189,0.0001189
91,698.44,0.5887,0.49995,0.85091,0.68244,0.65507,0.60083,0.49469,0.80451,1.40844,0.95008,0.000109,0.000109,0.000109
92,706.573,0.5788,0.48645,0.86852,0.68237,0.65804,0.60758,0.48705,0.835,1.37963,0.96052,9.91e-05,9.91e-05,9.91e-05
93,714.566,0.55845,0.47123,0.86623,0.68304,0.6462,0.61314,0.50333,0.80084,1.34864,0.9444,8.92e-05,8.92e-05,8.92e-05
94,721.721,0.56766,0.46466,0.86857,0.69938,0.65104,0.61195,0.49588,0.82422,1.36092,0.95266,7.93e-05,7.93e-05,7.93e-05
95,727.292,0.52734,0.45414,0.85207,0.6859,0.64938,0.60902,0.49626,0.81553,1.40241,0.95146,6.94e-05,6.94e-05,6.94e-05
96,734.008,0.56315,0.45438,0.85024,0.73976,0.60217,0.60702,0.49432,0.82089,1.42402,0.95286,5.95e-05,5.95e-05,5.95e-05
97,741.781,0.53861,0.45548,0.8486,0.68562,0.66283,0.61597,0.50169,0.80842,1.40446,0.94625,4.96e-05,4.96e-05,4.96e-05
98,749.774,0.55056,0.44781,0.85268,0.68102,0.65903,0.61017,0.49877,0.80203,1.39973,0.94421,3.97e-05,3.97e-05,3.97e-05
99,757.274,0.5468,0.44098,0.8523,0.68372,0.66554,0.61088,0.49907,0.79976,1.40978,0.94452,2.98e-05,2.98e-05,2.98e-05
100,765.057,0.53867,0.43503,0.85111,0.69214,0.66727,0.60825,0.49816,0.80192,1.41547,0.94512,1.99e-05,1.99e-05,1.99e-05
