epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,272.3,1.15798,1.22522,1.12968,0.51456,0.56653,0.50278,0.3626,1.05372,1.46085,1.05321,0.0008482,0.0008482,0.0008482
34,220.502,1.2475,1.38534,1.18007,0.61825,0.55133,0.47853,0.30872,1.20615,1.5039,1.10177,0.0008911,0.0008911,0.0008911
48,278.605,1.2252,1.24631,1.16599,0.59012,0.52141,0.46812,0.32976,1.06668,1.48597,1.07154,0.0008449,0.0008449,0.0008449
35,226.853,1.21638,1.35682,1.14822,0.60451,0.49781,0.43842,0.27977,1.22937,1.5046,1.12031,0.0008878,0.0008878,0.0008878
49,284.913,1.146,1.17314,1.11259,0.67637,0.52654,0.50736,0.34751,1.08383,1.30403,1.05166,0.0008416,0.0008416,0.0008416
36,233.19,1.18688,1.30705,1.13703,0.62767,0.54032,0.46022,0.2998,1.20321,1.47932,1.09248,0.0008845,0.0008845,0.0008845
50,291.237,1.16099,1.19583,1.11664,0.68061,0.51402,0.50461,0.34906,1.14623,1.37056,1.07327,0.0008383,0.0008383,0.0008383
51,297.505,1.14381,1.17196,1.12462,0.57693,0.51031,0.52242,0.36253,1.10144,1.34996,1.07128,0.000835,0.000835,0.000835
37,239.615,1.27319,1.39114,1.18555,0.64338,0.53047,0.47325,0.31992,1.1192,1.48216,1.08429,0.0008812,0.0008812,0.0008812
52,303.692,1.11324,1.15667,1.09464,0.6677,0.55344,0.51912,0.34157,1.14367,1.29043,1.07221,0.0008317,0.0008317,0.0008317
38,245.965,1.21435,1.37869,1.15298,0.62866,0.51396,0.44756,0.30048,1.10223,1.50909,1.08702,0.0008779,0.0008779,0.0008779
53,310,1.16504,1.22536,1.11133,0.69086,0.52398,0.52054,0.36308,1.1556,1.3311,1.07259,0.0008284,0.0008284,0.0008284
39,252.271,1.23762,1.56564,1.18447,0.58185,0.56669,0.43071,0.27903,1.24283,1.50932,1.14581,0.0008746,0.0008746,0.0008746
54,316.267,1.14399,1.19026,1.11506,0.52297,0.55205,0.52895,0.37519,1.20146,1.34251,1.09155,0.0008251,0.0008251,0.0008251
40,258.543,1.25536,1.36977,1.17904,0.63062,0.48022,0.46148,0.30269,1.28644,1.4155,1.14788,0.0008713,0.0008713,0.0008713
55,322.48,1.14615,1.16595,1.10828,0.52017,0.59156,0.52752,0.34763,1.20458,1.39842,1.0949,0.0008218,0.0008218,0.0008218
41,264.761,1.20007,1.32043,1.13728,0.50845,0.51709,0.49175,0.32567,1.24018,1.42955,1.13174,0.000868,0.000868,0.000868
56,328.593,1.14893,1.22373,1.1165,0.52207,0.54637,0.51404,0.36113,1.08341,1.45466,1.05002,0.0008185,0.0008185,0.0008185
42,271.107,1.15717,1.30767,1.1278,0.61922,0.58762,0.50581,0.33773,1.23742,1.39416,1.12399,0.0008647,0.0008647,0.0008647
57,334.979,1.12326,1.21699,1.10767,0.48188,0.55108,0.47828,0.34218,1.1169,1.40752,1.06417,0.0008152,0.0008152,0.0008152
43,277.729,1.20036,1.37422,1.14934,0.6428,0.54195,0.49344,0.32522,1.24309,1.51471,1.12846,0.0008614,0.0008614,0.0008614
58,341.437,1.12503,1.14554,1.09552,0.74918,0.48562,0.51036,0.3262,1.22916,1.44669,1.1114,0.0008119,0.0008119,0.0008119
